concept polysemousVariant cluster var.1BE-Du var.2BE-Du var.3BE-Du var.1NL-Du var.2NL-Du var.3NL-Du variants freq.BEDu freq.NLDu entropy.variant entropy.lect weight.cramersV weight.llr filter.llr weight.fisher filter.fisher weight.power filter.power distance_cityblock external_uniformity internal_uniformity iu.BEDu iu.NLDu tot.freq min.lect.freq
allegation no 1 2 42 4 3 41 1 verdachtmaking/aantijging/insinuatie 48 45 0.415845196685959 0.692626798924835 0.1435820202 0.6401363621 0 0.4066748514 0 0.217661338037943 0 0.0611111111 0.9388888889 0.802289282 0.7743055556 0.8350617284 93 45
allegation no 2 1 34 5 1 36 1 verdachtmaking/aantijging/insinuatie 40 38 0.388356030280062 0.692818413431129 0.18516402 0.7674028545 0 0.7495909454 0 0.290272047016921 0 0.0986842105 0.9013157895 0.811965812 0.73875 0.8988919668 78 38
allegation no 3 1 30 0 1 5 0 verdachtmaking/aantijging/insinuatie 31 6 0.210283412286133 0.443237908471039 0.2668802563 0.6803761547 0 0.8276616698 0 0.286525795329159 0 0.1344086022 0.8655913978 0.8977355734 0.9375650364 0.7222222222 37 6
allegation no 4 16 52 4 22 58 6 verdachtmaking/aantijging/insinuatie 72 86 0.769512974566784 0.689216374501918 0.0526253968 0.1972225102 0 0.1755498436 0 0.0844270874576241 0 0.0478036175 0.9521963825 0.5465470277 0.5740740741 0.525148729 158 72
allegation no 5 76 137 62 96 242 21 verdachtmaking/aantijging/insinuatie 275 359 0.927665607141846 0.684344239412621 0.255115822 0.9999999992 1 0.9999999991 1 0.999979224963064 1 0.1759128893 0.8240871107 0.4480938212 0.3753917355 0.5293332609 634 275
amusement_park no 1 262 29 NA 249 75 NA pret_park/attractie_park 291 324 0.454465334302785 0.691706869654292 0.1712419823 0.9999905863 1 0.9999863946 1 0.988893303429195 1 0.1318251241 0.8681748759 0.7189820874 0.8205500644 0.6442043896 615 291
amusement_park no 2 17 0 NA 17 8 NA pret_park/attractie_park 17 25 0.486912709464602 0.674895273743828 0.3073291847 0.99251161 1 0.9862697008 1 0.512705790798543 0 0.32 0.68 0.6916099773 1 0.5648 42 17
amusement_park no 3 25 1 NA 17 1 NA pret_park/attractie_park 26 18 0.184907399167776 0.6765259604935 0 0.2093793988 0 0 0 0.05 0 0.0170940171 0.9829059829 0.9132231405 0.926035503 0.8950617284 44 18
amusement_park no 4 9 4 NA 12 13 NA pret_park/attractie_park 13 25 0.687596737590924 0.642422021076254 0.1467892379 0.7929191045 0 0.6931926365 0 0.147777229689333 0 0.2123076923 0.7876923077 0.5055401662 0.573964497 0.5008 38 13
amusement_park no 5 146 7 NA 83 25 NA pret_park/attractie_park 153 108 0.372084055968241 0.678209393903313 0.2670394172 0.9999940392 1 0.9999889245 1 0.990718435929945 1 0.1857298475 0.8142701525 0.7848534226 0.9126831561 0.6442043896 261 108
apartment_building yes 1 41 81 47 1 55 19 appartement_gebouw/flat/flat_gebouw 169 75 0.982330514630298 0.616985883747207 0.3002459829 0.9999994621 1 0.9999987716 1 0.991566851287931 1 0.2540433926 0.7459566074 0.4134641225 0.3659185603 0.6021333333 244 75
apartment_building yes 2 14 63 13 0 71 27 appartement_gebouw/flat/flat_gebouw 90 98 0.764034973614028 0.692241520066971 0.3071381091 0.9999777603 1 0.9999799746 1 0.972580038937686 1 0.1555555556 0.8444444444 0.5588501584 0.5350617284 0.6007913369 188 90
apartment_building yes 3 5 10 1 1 19 5 appartement_gebouw/flat/flat_gebouw 16 25 0.807408830110542 0.668857062374027 0.3970074842 0.9643860376 1 0.955846906 1 0.618190789441738 0 0.2725 0.7275 0.5431290898 0.4921875 0.6192 41 16
apartment_building yes 4 19 39 15 5 59 23 appartement_gebouw/flat/flat_gebouw 73 87 0.926246447060893 0.689314155691443 0.2829040513 0.9986983851 1 0.9983453783 1 0.9035819040915 1 0.2028027082 0.7971972918 0.4540625 0.3953837493 0.5330955212 160 73
apartment_building yes 5 41 102 23 3 177 21 appartement_gebouw/flat/flat_gebouw 166 201 0.717032761098254 0.688592748907267 0.3698036029 1 1 1 1 0.999998995477447 1 0.2661391837 0.7338608163 0.6066790903 0.4577587458 0.7865894409 367 166
appreciation no 1 18 4 28 33 1 22 waardering/appreciatie/erkenning 50 56 0.850500913899629 0.691544330408523 0.2497797349 0.9664101316 1 0.9655555521 1 0.628929178285264 0 0.2292857142 0.7707142858 0.4562121752 0.4496 0.5019132653 106 50
